"rt","responses","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","success","final_height_px","final_width_px","scale_factor","viewing_distance_cm","cardWidth_px","response_type","key_press","avg_frame_time","mousePositionX","mousePositionY","position","position_x","position_y","click_x","click_y","file_name","stimulus"
"12516.17499999702","{""name"":""probando_csv"",""age"":""-1"",""gender-choice"":""MASCULINO"",""mail"":""gjuantorena@gmail.com""}","Bienvenidx","survey-html-form","0","12522","0.0-0.0","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","1","15004","0.0-1.0","true","","","","","","","","","","","","","","","","",""
"","","","resize","2","26764","0.0-2.0","","","398","1.0286373601015344","","","","","","","","","","","","","",""
"","","","virtual-chin","3","76462","0.0-3.0","","","","","57.749","387","","","","","","","","","","","",""
"35276.975000000675","","","psychophysics","4","111795","0.0-4.0","","","","","","","key","32","16.665174056603778","","","","","","","","",""
"11784.03999999864","","","psychophysics","5","123590","0.0-5.0-0.0","","","","","","","mouse","-1","NaN","","","(884,535),(886,531),(889,524),(894,511),(899,503),(909,492),(918,479),(929,458),(934,446),(940,430),(958,410),(978,381),(982,369),(987,356),(999,341),(1011,329),(1022,314),(1028,304),(1034,290),(1040,281),(1046,271),(1059,257),(1066,247),(1073,239),(1079,228),(1087,211),(1090,204),(1095,197),(1100,193),(1106,184),(1108,180),(1111,176),(1113,170),(1113,167),(1113,166),(1114,166),(1114,165),(1113,165),(1112,165),(1111,165),(1110,165),(1109,164),(1108,164),(1107,164),(1106,164),(1105,164),(1102,164),(1096,164),(1092,164),(1084,164),(1080,165),(1076,165),(1071,165),(1066,165),(1060,166),(1049,166),(1042,167),(1039,167),(1033,167),(1028,167),(1022,167),(1015,167),(1003,167),(1000,167),(995,167),(985,165),(973,165),(966,165),(961,165),(949,164),(937,163),(926,163),(919,162),(904,161),(886,161),(876,161),(855,159),(837,160),(830,160),(821,160),(799,158),(788,155),(780,153),(764,153),(750,152),(741,152),(736,150),(723,150),(709,149),(704,149),(697,148),(686,149),(674,149),(666,147),(654,147),(650,147),(639,146),(628,148),(616,147),(612,148),(608,149),(594,150),(582,148),(574,150),(569,150),(564,150),(554,151),(544,151),(540,152),(533,152),(531,152),(527,152),(522,152),(519,152),(517,152),(515,153),(512,153),(511,153),(508,153),(505,152),(502,151),(499,151),(494,151),(489,151),(486,151),(482,151),(479,151),(478,151),(475,150),(473,150),(469,150),(465,150),(462,150),(461,150),(460,150),(460,151),(460,152),(460,153),(460,155),(460,156),(460,158),(460,159),(460,163),(460,166),(462,173),(463,178),(465,193),(465,198),(466,200),(467,209),(470,222),(470,233),(470,238),(470,246),(470,253),(474,273),(473,281),(473,293),(473,309),(473,323),(471,327),(471,338),(471,342),(471,347),(471,350),(471,352),(468,357),(468,359),(467,362),(464,370),(464,393),(463,401),(463,412),(465,428),(467,447),(467,457),(467,467),(465,485),(465,492),(464,506),(463,515),(463,528),(461,539),(461,547),(461,552),(461,568),(458,585),(456,590),(452,599),(449,611),(446,620),(445,628),(443,634),(439,644),(439,651),(438,661),(438,671),(437,676),(437,683),(438,695),(439,707),(440,712),(440,715),(442,720),(442,726),(444,730),(447,736),(452,742),(452,743),(452,745),(454,746),(458,746),(460,746),(462,746),(469,747),(488,747),(499,749),(507,751),(533,756),(547,759),(562,762),(588,768),(611,771),(634,777),(650,779),(688,781),(710,781),(737,780),(758,780),(789,780),(808,780),(829,778),(861,773),(898,768),(919,767),(936,762),(961,758),(973,757),(978,757),(984,757),(993,757),(994,757),(1003,757),(1052,764),(1080,765),(1131,767),(1146,768),(1165,769),(1182,770),(1187,771),(1191,771),(1194,773),(1195,773),(1195,771),(1194,771),(1193,767),(1191,766),(1188,758),(1185,742),(1184,731),(1180,720),(1171,679),(1167,654),(1161,629),(1160,585),(1155,561),(1155,539),(1154,517),(1151,486),(1148,472),(1144,461),(1141,448),(1140,442),(1139,430),(1138,419),(1137,408),(1136,397),(1136,381),(1136,371),(1136,362),(1136,357),(1136,356),(1135,356),(1139,363),(1139,364),(1137,364),(1136,359),(1136,352),(1135,343),(1136,324),(1137,291),(1137,271),(1135,250),(1132,224),(1132,209),(1130,197),(1129,188),(1128,180),(1127,176),(1127,174),(1126,172),(1125,170),(1124,166),(1124,163),(1122,160),(1122,161),(1122,163),(1122,164)","","","1113","147","./stimulus/1.jpg",""
"9134.90499999898","","","psychophysics","6","132745","0.0-5.0-0.1","","","","","","","mouse","-1","NaN","","","(1122,163),(1122,162),(1122,161),(1122,158),(1122,157),(1122,156),(1122,155),(1122,154),(1122,152),(1121,152),(1118,152),(1111,148),(1102,146),(1092,145),(1079,145),(1074,144),(1069,142),(1055,139),(1039,139),(1033,137),(1029,135),(1013,134),(1002,135),(994,135),(990,135),(979,134),(967,134),(958,134),(950,134),(942,134),(933,134),(918,137),(907,139),(902,139),(894,139),(882,142),(871,143),(865,144),(864,144),(857,144),(844,143),(840,141),(833,141),(828,138),(826,138),(825,137),(823,137),(822,137),(821,137),(810,138),(794,142),(781,142),(761,144),(744,142),(736,142),(729,141),(717,140),(706,140),(693,140),(688,139),(674,139),(651,137),(643,136),(623,133),(606,133),(595,137),(587,135),(565,132),(555,135),(548,134),(543,133),(532,133),(522,133),(517,135),(511,135),(507,135),(503,135),(497,135),(490,135),(486,135),(481,136),(478,136),(475,136),(473,135),(467,135),(464,135),(459,135),(452,134),(443,134),(439,134),(435,133),(427,133),(414,132),(407,131),(400,130),(395,130),(388,129),(382,129),(378,129),(373,129),(370,129),(369,129),(367,129),(363,129),(362,129),(361,129),(360,129),(355,130),(349,131),(338,132),(318,133),(310,131),(307,130),(302,130),(299,129),(296,129),(294,129),(291,129),(290,129),(289,129),(286,128),(285,128),(284,128),(285,129),(286,130),(287,131),(287,133),(288,135),(288,136),(288,137),(288,138),(287,141),(285,143),(284,147),(281,150),(279,152),(276,156),(276,159),(275,160),(275,163),(274,170),(274,175),(272,187),(270,194),(269,199),(268,211),(266,219),(266,230),(266,235),(266,240),(264,251),(264,257),(264,265),(265,273),(267,280),(267,288),(268,299),(268,308),(270,314),(272,322),(273,326),(276,339),(276,346),(276,351),(276,354),(278,362),(278,364),(280,372),(281,381),(282,386),(282,390),(282,393),(282,400),(283,405),(283,412),(284,421),(284,433),(284,440),(284,449),(284,471),(284,481),(284,488),(284,496),(284,511),(284,514),(284,522),(284,532),(284,533),(284,542),(284,543),(284,545),(284,555),(285,573),(286,576),(291,596),(291,607),(294,621),(294,628),(296,651),(298,667),(300,681),(300,700),(301,712),(302,719),(304,728),(304,740),(305,742),(307,758),(307,764),(307,766),(307,768),(307,770),(309,771),(310,769),(311,769),(312,768),(314,768),(315,767),(320,767),(323,767),(326,767),(344,769),(358,767),(372,774),(399,779),(413,785),(425,785),(434,788),(465,788),(474,790),(483,790),(499,795),(521,799),(541,793),(562,793),(587,784),(606,782),(622,773),(634,770),(660,763),(675,762),(685,761),(716,758),(724,758),(741,757),(760,754),(780,754),(802,756),(818,756),(844,757),(865,759),(880,760),(902,761),(926,763),(944,764),(964,764),(977,766),(995,766),(1002,766),(1005,766),(1006,766),(1006,767),(1006,768),(1022,767),(1025,767),(1041,763),(1070,763),(1091,763),(1110,763),(1120,762),(1129,761),(1135,761),(1140,761),(1146,761),(1148,761),(1149,761),(1151,761),(1153,763),(1153,764),(1153,765),(1154,765),(1155,764),(1155,762),(1156,758),(1155,752),(1155,750),(1147,720),(1143,696),(1142,668),(1136,635),(1129,567),(1124,521),(1121,484),(1120,431),(1121,400),(1121,378),(1121,357),(1119,338),(1117,329),(1116,322),(1116,314),(1114,301),(1114,292),(1114,285),(1115,272),(1115,264),(1114,260),(1113,258),(1112,258),(1113,249),(1111,246),(1111,245),(1111,244),(1111,243),(1117,231),(1119,220),(1120,208),(1124,197),(1126,188),(1126,183),(1126,177),(1127,169),(1128,166),(1129,163),(1130,162),(1131,160),(1131,159),(1131,158),(1131,157),(1131,156),(1131,155),(1130,155),(1129,155),(1128,155),(1128,154),(1126,153),(1126,152),(1127,153),(1127,154)","","","1118","138","./stimulus/2.jpg",""
"6841.710000000603","","","psychophysics","7","139598","0.0-5.0-0.2","","","","","","","mouse","-1","NaN","","","(1127,154),(1127,153),(1127,151),(1127,148),(1127,147),(1127,145),(1127,142),(1127,140),(1127,139),(1127,138),(1127,136),(1127,135),(1127,132),(1127,128),(1127,127),(1127,125),(1127,123),(1127,121),(1127,119),(1127,118),(1125,119),(1127,118),(1121,119),(1112,120),(1101,122),(1063,125),(1048,128),(1024,130),(991,133),(962,133),(917,135),(887,137),(862,140),(840,141),(822,141),(790,143),(777,142),(756,142),(736,142),(716,144),(692,146),(662,151),(637,153),(622,155),(592,156),(571,158),(546,161),(527,162),(524,161),(506,159),(491,158),(485,158),(478,158),(471,158),(464,157),(457,157),(448,156),(446,156),(444,156),(441,156),(435,153),(432,153),(429,153),(426,152),(422,151),(421,151),(419,150),(418,150),(417,150),(416,150),(416,151),(416,153),(416,154),(416,155),(416,156),(416,157),(416,159),(416,161),(418,167),(418,177),(418,187),(418,206),(418,221),(418,245),(418,266),(415,275),(414,307),(413,323),(412,333),(412,348),(412,364),(412,371),(412,380),(413,405),(413,414),(413,427),(414,441),(414,456),(414,461),(414,468),(414,471),(412,490),(410,500),(410,505),(407,517),(407,525),(407,533),(406,541),(406,546),(406,547),(406,551),(406,552),(406,554),(407,557),(408,559),(408,561),(408,564),(408,565),(408,566),(407,568),(406,570),(406,571),(406,574),(406,575),(406,576),(406,578),(406,579),(406,578),(405,586),(404,587),(404,588),(402,593),(399,600),(397,610),(395,617),(395,621),(395,630),(395,634),(395,646),(393,656),(391,661),(390,669),(388,680),(388,684),(387,692),(387,694),(387,698),(387,701),(387,704),(387,708),(387,712),(388,715),(388,721),(388,722),(388,725),(388,727),(388,733),(388,738),(388,740),(389,747),(389,754),(389,757),(389,762),(391,762),(391,763),(392,763),(394,763),(394,762),(398,761),(399,761),(404,758),(406,758),(423,758),(458,765),(476,763),(531,763),(565,765),(604,763),(656,759),(684,761),(720,756),(746,756),(791,754),(821,754),(842,754),(899,754),(934,753),(963,754),(1005,754),(1053,754),(1077,754),(1105,753),(1127,751),(1149,751),(1165,752),(1174,753),(1183,754),(1185,754),(1185,755),(1184,755),(1184,753),(1181,752),(1179,751),(1177,749),(1172,744),(1170,740),(1169,737),(1165,727),(1159,685),(1149,642),(1140,582),(1139,533),(1137,477),(1136,445),(1136,412),(1136,387),(1136,351),(1136,332),(1136,311),(1136,283),(1135,273),(1135,258),(1135,244),(1134,235),(1133,229),(1133,227),(1133,219),(1132,203),(1129,202),(1128,202),(1126,200),(1124,200),(1121,195),(1119,195),(1118,195),(1118,194),(1118,192),(1118,187),(1118,184),(1119,177),(1119,164),(1119,154),(1119,147),(1119,142),(1119,132),(1119,123),(1119,116),(1119,111),(1119,108),(1120,107),(1120,106),(1120,104),(1120,103),(1120,104)","","","1111","89","./stimulus/3.jpg",""
"4322.990000000573","","","psychophysics","8","143931","0.0-5.0-0.3","","","","","","","mouse","-1","NaN","","","(1120,104),(1122,105),(1123,107),(1125,107),(1126,108),(1128,110),(1128,111),(1128,112),(1128,113),(1119,115),(1111,116),(1091,118),(1047,122),(1015,127),(951,131),(907,131),(862,130),(839,127),(781,124),(750,122),(724,122),(676,116),(661,116),(627,112),(611,112),(572,111),(559,110),(539,110),(516,110),(507,111),(491,114),(476,114),(462,116),(451,116),(429,119),(424,120),(416,120),(412,120),(409,121),(400,119),(395,119),(393,118),(391,118),(391,119),(392,122),(393,125),(394,128),(396,133),(396,151),(396,183),(393,283),(394,361),(401,415),(409,516),(419,571),(429,614),(430,625),(439,678),(445,719),(445,735),(445,741),(445,744),(446,758),(446,759),(446,760),(446,761),(448,763),(451,764),(454,765),(462,765),(467,768),(493,780),(520,785),(592,792),(632,792),(675,794),(743,792),(803,786),(849,780),(881,780),(924,785),(953,786),(972,787),(1002,787),(1012,787),(1020,787),(1024,787),(1027,787),(1032,787),(1039,786),(1048,785),(1058,784),(1062,784),(1064,783),(1065,782),(1067,781),(1069,781),(1070,781),(1076,780),(1078,780),(1080,780),(1088,780),(1093,780),(1100,780),(1110,782),(1117,786),(1119,786),(1120,786),(1120,785),(1120,784),(1120,783),(1119,779),(1117,776),(1114,768),(1112,758),(1108,733),(1106,696),(1100,616),(1096,547),(1095,496),(1093,454),(1093,383),(1094,336),(1095,305),(1095,285),(1095,255),(1091,210),(1089,209),(1086,203),(1086,201),(1086,200),(1086,194),(1087,191),(1088,184),(1096,164),(1099,149),(1102,139),(1104,133),(1105,126),(1106,123),(1107,119),(1107,118),(1107,117),(1107,118),(1107,119)","","","1098","103","./stimulus/4.jpg",""
"4434.894999998505","","","psychophysics","9","148379","0.0-5.0-0.4","","","","","","","mouse","-1","NaN","","","(1107,119),(1108,119),(1111,119),(1117,119),(1120,119),(1123,119),(1125,119),(1127,119),(1129,119),(1116,123),(1047,129),(991,129),(960,127),(905,126),(849,121),(822,118),(776,116),(756,113),(722,109),(703,107),(677,103),(664,103),(638,102),(625,101),(618,99),(596,99),(578,97),(568,97),(555,97),(530,97),(521,98),(513,98),(490,98),(453,114),(443,113),(435,111),(425,113),(419,113),(413,113),(407,112),(402,111),(400,112),(398,112),(397,114),(397,115),(397,118),(397,119),(397,120),(397,121),(397,126),(399,150),(399,209),(399,237),(399,279),(408,335),(418,363),(427,406),(436,453),(451,535),(454,579),(458,603),(462,631),(464,658),(465,663),(466,667),(467,671),(467,672),(467,673),(468,674),(468,675),(468,676),(468,674),(469,673),(469,674),(469,676),(469,677),(469,678),(469,679),(470,679),(492,671),(503,675),(559,679),(588,691),(632,709),(734,723),(800,731),(863,734),(905,735),(948,736),(972,735),(996,735),(1022,736),(1034,738),(1046,740),(1056,740),(1065,740),(1066,740),(1067,740),(1067,739),(1068,738),(1068,737),(1072,736),(1087,730),(1098,728),(1104,726),(1109,726),(1115,725),(1126,725),(1131,726),(1133,726),(1135,726),(1135,725),(1135,724),(1135,721),(1135,710),(1141,667),(1140,622),(1127,568),(1119,526),(1102,434),(1095,367),(1092,308),(1088,250),(1083,229),(1079,205),(1076,183),(1071,153),(1071,144),(1074,134),(1075,123),(1076,110),(1078,104),(1080,101),(1083,96),(1084,94),(1085,93),(1086,91),(1088,90),(1088,91),(1088,93),(1088,94),(1087,94),(1087,95),(1087,96),(1087,97)","","","1079","82","./stimulus/5.jpg",""
